word,splits,translation
月,"['3', '月', 'は', '忙しい', 'busy in march']",busy in march
は,"['月', 'は', '忙しい', 'the moon is busy']",the moon is busy
仕事,"['仕事', 'が', '忙しい', 'I am busy with my work']",I am busy with my work
が,"['仕事', 'が', '忙しい', 'I am busy with my work']",I am busy with my work
忙しい,"['月', '仕事', '忙しい', '。', 'Busy monthly work.']",Busy monthly work.
仕事,"['仕事', 'の', 'あと', '見', 'after work']",after work
の,"['仕事', 'の', 'あと', '見', 'after work']",after work
あと,"['仕事', 'あと', '、', '見', 'See you after work']",See you after work
映画,"['映画', 'を', '見', 'watch a movie']",watch a movie
を,"['映画', 'を', '見', 'watch a movie']",watch a movie
見,"['あと', '映画', '見', 'た', '。', 'I saw the movie later.']",I saw the movie later.
た,"['見', 'た', 'saw']",saw
彼女,"['彼女', 'は', '来', 'she came']",she came
は,"['彼女', 'は', '来', 'she came']",she came
いつ,"['いつ', '来', 'when are you coming']",when are you coming
来,"['彼女', 'いつ', '来', 'ます', 'か', '。', 'when will she come']",when will she come
ます,"['来', 'ます', 'come']",come
か,"['来', 'か', 'come']",come
次,"['次', 'は', '会い', 'see you next time']",see you next time
は,"['次', 'は', '会い', 'see you next time']",see you next time
いつ,"['いつ', '会い', 'when to meet']",when to meet
会い,"['次', 'いつ', '会い', 'ましょう', 'か', '。', 'When shall we meet next time?']",When shall we meet next time?
ましょう,"['会い', 'ましょう', ""let's meet""]",let's meet
か,"['会い', 'か', 'meet']",meet
友達,"['友達', 'と', '一緒', 'し', 'hang out with friends']",hang out with friends
と,"['友達', 'と', '一緒', 'し', 'hang out with friends']",hang out with friends
一緒,"['友達', '一緒', 'に', 'し', 'with friends']",with friends
に,"['一緒', 'に', 'し', 'together']",together
宿題,"['宿題', 'を', 'し', 'do homework']",do homework
を,"['宿題', 'を', 'し', 'do homework']",do homework
し,"['一緒', '宿題', 'し', 'た', '。', 'did homework together.']",did homework together.
た,"['し', 'た', 'did']",did
男の子,"['男の子', 'たち', 'し', 'boys']",boys
たち,"['男の子', 'たち', 'が', 'し', 'boys do']",boys do
が,"['たち', 'が', 'し', 'Tatashi']",Tatashi
サッカー,"['サッカー', 'を', 'し', 'play soccer']",play soccer
を,"['サッカー', 'を', 'し', 'play soccer']",play soccer
し,"['たち', 'サッカー', 'し', 'て', '。', 'play soccer.']",play soccer.
て,"['し', 'て', 'いる', 'is doing']",is doing
いる,"['し', 'て', 'いる', 'is doing']",is doing
今朝,"['今朝', 'は', '出', 'out this morning']",out this morning
は,"['今朝', 'は', '出', 'out this morning']",out this morning
早く,"['早く', '家', '出', 'run away early']",run away early
家,"['早く', '家', 'を', '出', 'leave home early']",leave home early
を,"['家', 'を', '出', 'leave home']",leave home
出,"['今朝', '家', '出', 'まし', 'た', '。', 'I left home this morning.']",I left home this morning.
まし,"['出', 'まし', 'out']",out
た,"['出', 'た', 'came out']",came out
今日,"['今日', 'は', '出', 'out today']",out today
は,"['今日', 'は', '出', 'out today']",out today
5,"['5', '時', '出', ""5 o'clock""]",5 o'clock
時,"['5', '時', 'に', '出', 'leave at 5']",leave at 5
に,"['時', 'に', '出', 'at times']",at times
会社,"['会社', 'を', '出', 'leave the company']",leave the company
を,"['会社', 'を', '出', 'leave the company']",leave the company
出,"['今日', '時', '会社', '出', 'ます', '。', ""I'm leaving the office today.""]",I'm leaving the office today.
ます,"['出', 'ます', 'go out']",go out
この,"['この', 'パソコン', '使っ', 'use this computer']",use this computer
パソコン,"['この', 'パソコン', 'を', '使っ', 'use this computer']",use this computer
を,"['パソコン', 'を', '使っ', 'using a computer']",using a computer
使っ,"['パソコン', '使っ', 'て', '。', 'using a computer.']",using a computer.
て,"['使っ', 'て', 'ください', 'please use it']",please use it
ください,"['使っ', 'て', 'ください', 'please use it']",please use it
彼女,"['彼女', 'は', '使い', 'she used']",she used
は,"['彼女', 'は', '使い', 'she used']",she used
辞書,"['辞書', 'を', '使い', 'use a dictionary']",use a dictionary
を,"['辞書', 'を', '使い', 'use a dictionary']",use a dictionary
よく,"['よく', '使い', 'frequently used']",frequently used
使い,"['彼女', '辞書', 'よく', '使い', 'ます', '。', 'She often uses the dictionary.']",She often uses the dictionary.
ます,"['使い', 'ます', 'Use']",Use
私,"['私', 'は', '泊まっ', 'i stayed']",i stayed
は,"['私', 'は', '泊まっ', 'i stayed']",i stayed
友達,"['友達', 'の', '所', '泊まっ', ""staying at a friend's place""]",staying at a friend's place
の,"['友達', 'の', '所', '泊まっ', ""staying at a friend's place""]",staying at a friend's place
所,"['友達', '所', 'に', '泊まっ', ""staying at a friend's place""]",staying at a friend's place
に,"['所', 'に', '泊まっ', 'stayed at']",stayed at
泊まっ,"['私', '所', '泊まっ', 'た', '。', 'I stayed at a private residence.']",I stayed at a private residence.
た,"['泊まっ', 'た', 'Stayed']",Stayed
今年,"['今年', 'の', '夏休み', '行き', 'going to summer vacation this year']",going to summer vacation this year
の,"['今年', 'の', '夏休み', '行き', 'going to summer vacation this year']",going to summer vacation this year
夏休み,"['今年', '夏休み', 'に', 'は', '行き', 'go to summer vacation this year']",go to summer vacation this year
に,"['夏休み', 'に', '行き', 'go on summer vacation']",go on summer vacation
は,"['夏休み', 'は', '行き', 'summer vacation goes']",summer vacation goes
静か,"['静か', 'な', '所', '行き', 'going to a quiet place']",going to a quiet place
な,"['静か', 'な', '所', '行き', 'going to a quiet place']",going to a quiet place
所,"['静か', '所', 'へ', '行き', 'go to a quiet place']",go to a quiet place
へ,"['所', 'へ', '行き', 'go to place']",go to place
行き,"['夏休み', '所', '行き', 'たい', '。', 'I want to go to summer vacation.']",I want to go to summer vacation.
たい,"['行き', 'たい', 'i wanna go']",i wanna go
今,"['今', '、', '作っ', 'make now']",make now
朝ご飯,"['朝ご飯', 'を', '作っ', 'make breakfast']",make breakfast
を,"['朝ご飯', 'を', '作っ', 'make breakfast']",make breakfast
作っ,"['今', '朝ご飯', '作っ', 'て', 'ます', '。', 'I am cooking breakfast this morning.']",I am cooking breakfast this morning.
て,"['作っ', 'て', 'い', 'to make']",to make
い,"['作っ', 'て', 'い', 'to make']",to make
ます,"['作っ', 'ます', 'make']",make
母,"['母', 'が', '作っ', 'my mother made']",my mother made
が,"['母', 'が', '作っ', 'my mother made']",my mother made
コーン,"['コーン', 'スープ', '作っ', 'making corn soup']",making corn soup
スープ,"['コーン', 'スープ', 'を', '作っ', 'make corn soup']",make corn soup
を,"['スープ', 'を', '作っ', 'make soup']",make soup
作っ,"['母', 'スープ', '作っ', 'て', '。', 'Make mother soup.']",Make mother soup.
て,"['作っ', 'て', 'いる', 'making']",making
いる,"['作っ', 'て', 'いる', 'making']",making
私,"['私', 'も', '思い', 'i also think']",i also think
も,"['私', 'も', '思い', 'i also think']",i also think
そう,"['そう', '思い', 'I think so']",I think so
思い,"['私', 'そう', '思い', 'ます', '。', 'I think so.']",I think so.
ます,"['思い', 'ます', 'think']",think
あなた,"['あなた', 'は', '思い', 'you think']",you think
は,"['あなた', 'は', '思い', 'you think']",you think
どう,"['どう', '思い', 'what do you think']",what do you think
思い,"['あなた', 'どう', '思い', 'ます', 'か', '。', 'what do you think']",what do you think
ます,"['思い', 'ます', 'think']",think
か,"['思い', 'か', 'thoughts']",thoughts
私,"['私', 'は', '持っ', 'i have']",i have
は,"['私', 'は', '持っ', 'i have']",i have
車,"['車', 'を', '持っ', 'have a car']",have a car
を,"['車', 'を', '持っ', 'have a car']",have a car
持っ,"['私', '車', '持っ', 'て', 'ます', '。', 'i have a car']",i have a car
て,"['持っ', 'て', 'い', 'have']",have
い,"['持っ', 'て', 'い', 'have']",have
ます,"['持っ', 'ます', 'have']",have
私,"['私', 'は', '持っ', 'i have']",i have
は,"['私', 'は', '持っ', 'i have']",i have
黒い,"['黒い', 'バッグ', '持っ', 'carrying a black bag']",carrying a black bag
バッグ,"['黒い', 'バッグ', 'を', '持っ', 'carrying a black bag']",carrying a black bag
を,"['バッグ', 'を', '持っ', 'have a bag']",have a bag
持っ,"['私', 'バッグ', '持っ', 'て', 'ます', '。', 'i have a bag']",i have a bag
て,"['い', '持っ', 'て', 'have it']",have it
い,"['い', '持っ', 'て', 'have it']",have it
ます,"['持っ', 'ます', 'have']",have
郵便,"['郵便', '局', '買い', 'post office buying']",post office buying
局,"['郵便', '局', 'で', '買い', 'buy at post office']",buy at post office
で,"['局', 'で', '買い', 'buy at the station']",buy at the station
切手,"['切手', 'を', '買い', 'buy stamps']",buy stamps
を,"['切手', 'を', '買い', 'buy stamps']",buy stamps
買い,"['局', '切手', '買い', 'まし', 'た', '。', 'I bought a station stamp.']",I bought a station stamp.
まし,"['買い', 'まし', 'bought']",bought
た,"['買い', 'た', 'bought']",bought
本,"['本', 'を', '買い', 'buy a book']",buy a book
を,"['本', 'を', '買い', 'buy a book']",buy a book
1,"['1', '冊', '買い', 'buy one']",buy one
冊,"['1', '冊', '買い', 'buy one']",buy one
買い,"['本', '冊', '買い', 'まし', 'た', '。', 'I bought this book.']",I bought this book.
まし,"['買い', 'まし', 'bought']",bought
た,"['買い', 'た', 'bought']",bought
今,"['今', 'は', 'あり', 'there is now']",there is now
は,"['今', 'は', 'あり', 'there is now']",there is now
時間,"['時間', 'が', 'あり', 'have time']",have time
が,"['時間', 'が', 'あり', 'have time']",have time
あり,"['今', '時間', 'あり', 'ませ', 'ん', '。', ""I don't have time now.""]",I don't have time now.
ませ,"['あり', 'ませ', 'not']",not
ん,"['あり', 'ん', 'Arin']",Arin
まだ,"['まだ', '早い', '時間', 'still early']",still early
学校,"['学校', 'へ', '行く', '早い', '時間', 'early time to go to school']",early time to go to school
へ,"['学校', 'へ', '行く', '早い', '時間', 'early time to go to school']",early time to go to school
行く,"['学校', '行く', 'に', 'は', '早い', '時間', 'early to go to school']",early to go to school
に,"['行く', 'に', '早い', '時間', 'early to go']",early to go
は,"['行く', 'は', '早い', '時間', 'early time to go']",early time to go
早い,"['まだ', '行く', '早い', '時間', 'still early to go']",still early to go
時間,"['早い', '時間', 'です', '。', ""It's early.""]",It's early.
です,"['時間', 'です', ""It's time""]",It's time
誰,"['誰', 'も', '知ら', 'no one knows']",no one knows
も,"['誰', 'も', '知ら', 'no one knows']",no one knows
その,"['その', '話', '知ら', 'know the story']",know the story
話,"['その', '話', 'を', '知ら', 'know the story']",know the story
を,"['話', 'を', '知ら', 'know the story']",know the story
知ら,"['誰', '話', '知ら', 'ない', '。', ""I don't know who""]",I don't know who
ない,"['知ら', 'ない', 'Do not know']",Do not know
あの,"['あの', '女の子', '知っ', 'i know that girl']",i know that girl
女の子,"['あの', '女の子', 'を', '知っ', 'i know that girl']",i know that girl
を,"['女の子', 'を', '知っ', 'know a girl']",know a girl
知っ,"['女の子', '知っ', 'て', 'ます', 'か', '。', 'do you know the girl']",do you know the girl
て,"['知っ', 'て', 'い', 'know']",know
い,"['知っ', 'て', 'い', 'know']",know
ます,"['知っ', 'ます', 'know']",know
か,"['知っ', 'か', 'Did you know']",Did you know
彼,"['彼', 'の', '語', 'レベル', '同じ', 'his language level is the same']",his language level is the same
の,"['彼', 'の', '語', 'レベル', '同じ', 'his language level is the same']",his language level is the same
日本,"['日本', '語', 'レベル', '同じ', 'same Japanese level']",same Japanese level
語,"['彼', 'の', '日本', '語', 'レベル', '同じ', 'His Japanese level is the same']",His Japanese level is the same
の,"['の', '語', 'レベル', '同じ', 'the same word level as']",the same word level as
レベル,"['語', 'レベル', 'は', '同じ', 'same language level']",same language level
は,"['レベル', 'は', '同じ', 'same level']",same level
私,"['私', 'と', '同じ', 'same as me']",same as me
と,"['私', 'と', '同じ', 'same as me']",same as me
同じ,"['レベル', '私', '同じ', 'くらい', 'だ', '。', 'Same level as me.']",Same level as me.
くらい,"['同じ', 'くらい', 'About the same']",About the same
だ,"['同じ', 'だ', ""It's the same""]",It's the same
いとこ,"['いとこ', 'と', '年', 'cousins \u200b\u200band years']",cousins ​​and years
と,"['いとこ', 'と', '年', 'cousins \u200b\u200band years']",cousins ​​and years
私,"['私', 'は', '年', ""i'm a year""]",i'm a year
は,"['私', 'は', '年', ""i'm a year""]",i'm a year
同じ,"['同じ', '年', 'same year']",same year
年,"['いとこ', '私', '同じ', '年', 'です', '。', 'My cousin is the same age as me.']",My cousin is the same age as me.
です,"['年', 'です', 'is the year']",is the year
彼,"['彼', 'は', '勉強', 'he studies']",he studies
は,"['彼', 'は', '勉強', 'he studies']",he studies
今,"['今', '、', '勉強', 'study now']",study now
勉強,"['彼', '今', '勉強', 'し', 'て', 'ます', '。', 'he is studying now']",he is studying now
し,"['勉強', 'し', 'study']",study
て,"['勉強', 'て', 'い', 'studying']",studying
い,"['勉強', 'て', 'い', 'studying']",studying
ます,"['勉強', 'ます', 'study']",study
今,"['今', 'ホテル', '着き', 'Arrive at the hotel now']",Arrive at the hotel now
ホテル,"['今', 'ホテル', 'に', '着き', ""I'm at the hotel now""]",I'm at the hotel now
に,"['ホテル', 'に', '着き', 'get to the hotel']",get to the hotel
着き,"['ホテル', '着き', 'まし', 'た', '。', 'I arrived at the hotel.']",I arrived at the hotel.
まし,"['着き', 'まし', 'arrived']",arrived
た,"['着き', 'た', 'arrived']",arrived
彼,"['彼', 'の', '車', '新しい', 'his car new']",his car new
の,"['彼', 'の', '車', '新しい', 'his car new']",his car new
車,"['彼', '車', 'は', '新しい', 'his car is new']",his car is new
は,"['車', 'は', '新しい', 'the car is new']",the car is new
新しい,"['車', '新しい', '。', 'car new.']",car new.
新しい,"['新しい', 'テーブル', '買い', 'buy a new table']",buy a new table
テーブル,"['新しい', 'テーブル', 'を', '買い', 'buy a new table']",buy a new table
を,"['テーブル', 'を', '買い', 'buy a table']",buy a table
買い,"['テーブル', '買い', 'まし', 'た', '。', 'I bought a table.']",I bought a table.
まし,"['買い', 'まし', 'bought']",bought
た,"['買い', 'た', 'bought']",bought
彼,"['彼', 'は', 'なり', 'he becomes']",he becomes
は,"['彼', 'は', 'なり', 'he becomes']",he becomes
医者,"['医者', 'に', 'なり', 'become a doctor']",become a doctor
に,"['医者', 'に', 'なり', 'become a doctor']",become a doctor
なり,"['彼', '医者', 'なり', 'まし', 'た', '。', 'He became a doctor.']",He became a doctor.
まし,"['なり', 'まし', 'became']",became
た,"['なり', 'た', 'became']",became
私,"['私', 'は', 'なり', 'I become']",I become
は,"['私', 'は', 'なり', 'I become']",I become
日本,"['日本', '語', '先生', 'なり', 'Become a Japanese teacher']",Become a Japanese teacher
語,"['日本', '語', 'の', '先生', 'なり', 'be a Japanese teacher']",be a Japanese teacher
の,"['語', 'の', '先生', 'なり', 'be a language teacher']",be a language teacher
先生,"['語', '先生', 'に', 'なり', 'become a language teacher']",become a language teacher
に,"['先生', 'に', 'なり', 'become a teacher']",become a teacher
なり,"['私', '先生', 'なり', 'たい', 'です', '。', 'i want to be a teacher']",i want to be a teacher
たい,"['なり', 'たい', 'want to become']",want to become
です,"['なり', 'です', ""It's Nari""]",It's Nari
宿題,"['宿題', 'は', '終わっ', 'homework done']",homework done
は,"['宿題', 'は', '終わっ', 'homework done']",homework done
まだ,"['まだ', '終わっ', ""it's over""]",it's over
終わっ,"['宿題', 'まだ', '終わっ', 'て', 'ませ', 'ん', '。', ""I haven't finished my homework yet.""]",I haven't finished my homework yet.
て,"['終わっ', 'て', 'い', ""it's over""]",it's over
い,"['終わっ', 'て', 'い', ""it's over""]",it's over
ませ,"['終わっ', 'ませ', 'let it end']",let it end
ん,"['終わっ', 'ん', ""It's over""]",It's over
彼,"['彼', 'は', '若い', 'he is young']",he is young
は,"['彼', 'は', '若い', 'he is young']",he is young
まだ,"['まだ', '若い', 'still young']",still young
若い,"['彼', 'まだ', '若い', 'です', '。', 'he is still young']",he is still young
です,"['若い', 'です', 'young']",young
仕事,"['仕事', 'の', 'あと', '見', 'after work']",after work
の,"['仕事', 'の', 'あと', '見', 'after work']",after work
あと,"['仕事', 'あと', '、', '見', 'See you after work']",See you after work
映画,"['映画', 'を', '見', 'watch a movie']",watch a movie
を,"['映画', 'を', '見', 'watch a movie']",watch a movie
見,"['あと', '映画', '見', 'た', '。', 'I saw the movie later.']",I saw the movie later.
た,"['見', 'た', 'saw']",saw
この,"['この', 'あと', 'あり', 'After this']",After this
あと,"['この', 'あと', '、', 'あり', 'After this, yes']","After this, yes"
時間,"['時間', 'が', 'あり', 'have time']",have time
が,"['時間', 'が', 'あり', 'have time']",have time
あり,"['あと', '時間', 'あり', 'ます', 'か', '。', 'Do you have time left?']",Do you have time left?
ます,"['あり', 'ます', 'I have']",I have
か,"['あり', 'か', 'Is there']",Is there
彼女,"['彼女', 'は', '聞い', 'she heard']",she heard
は,"['彼女', 'は', '聞い', 'she heard']",she heard
ラジオ,"['ラジオ', 'を', '聞い', 'listen to the radio']",listen to the radio
を,"['ラジオ', 'を', '聞い', 'listen to the radio']",listen to the radio
聞い,"['彼女', 'ラジオ', '聞い', 'て', 'ます', '。', 'she listens to the radio']",she listens to the radio
て,"['聞い', 'い', 'て', 'listen']",listen
い,"['聞い', 'い', 'て', 'listen']",listen
ます,"['聞い', 'ます', 'hear']",hear
誰,"['誰', 'か', 'に', '聞い', 'ask someone']",ask someone
か,"['誰', 'か', '聞い', 'someone hear']",someone hear
に,"['誰', 'に', '聞い', 'ask who']",ask who
聞い,"['誰', '聞い', 'て', '。', ""who's listening""]",who's listening
て,"['聞い', 'て', 'み', 'listen']",listen
み,"['聞い', 'て', 'み', 'listen']",listen
て,"['聞い', 'て', 'ください', 'please listen']",please listen
ください,"['聞い', 'て', 'ください', 'please listen']",please listen
上司,"['上司', 'が', '言っ', 'my boss said']",my boss said
が,"['上司', 'が', '言っ', 'my boss said']",my boss said
「,"['「', '杯', '言っ', '""Cheers']","""Cheers"
一,"['一', '杯', '言っ', 'have a drink']",have a drink
杯,"['「', '一', '杯', '、', '言っ', '""One cup, say']","""One cup, say"
飲もう,"['飲もう', '」', 'と', '言っ', ""let's drink""]",let's drink
」,"['飲もう', '」', '言っ', ""let's drink""]",let's drink
と,"['飲もう', 'と', '言っ', ""say let's drink""]",say let's drink
言っ,"['上司', '杯', '飲もう', '言っ', 'た', '。', ""I said let's drink the boss cup.""]",I said let's drink the boss cup.
た,"['言っ', 'た', 'Said']",Said
彼,"['彼', 'は', '電話', '言い', 'he called']",he called
は,"['彼', 'は', '電話', '言い', 'he called']",he called
また,"['また', '電話', '言い', 'call me again']",call me again
電話,"['彼', 'また', '電話', 'する', 'と', '言い', ""he said he'll call again""]",he said he'll call again
する,"['電話', 'する', '言い', 'say to call']",say to call
と,"['電話', 'と', '言い', 'say phone']",say phone
言い,"['た', '電話', '言い', 'まし', '。', 'I called you.']",I called you.
まし,"['言い', 'まし', 'said']",said
た,"['た', '言い', 'saying']",saying
今年,"['今年', 'は', '少ない', 'less this year']",less this year
は,"['今年', 'は', '少ない', 'less this year']",less this year
雨,"['雨', 'が', '少ない', 'little rain']",little rain
が,"['雨', 'が', '少ない', 'little rain']",little rain
少ない,"['今年', '雨', '少ない', 'です', '。', ""We don't have much rain this year.""]",We don't have much rain this year.
です,"['少ない', 'です', ""there's only a little""]",there's only a little
この,"['この', '町', '少ない', 'this town is small']",this town is small
町,"['この', '町', 'に', 'は', '少ない', 'there are few in this town']",there are few in this town
に,"['町', 'に', '少ない', 'few in town']",few in town
は,"['町', 'は', '少ない', 'few towns']",few towns
外人,"['外人', 'が', '少ない', 'few foreigners']",few foreigners
が,"['外人', 'が', '少ない', 'few foreigners']",few foreigners
少ない,"['町', '外人', '少ない', '。', 'Few out-of-towners.']",Few out-of-towners.
これ,"['これ', 'が', 'ビル', 'this is the building']",this is the building
が,"['これ', 'が', 'ビル', 'this is the building']",this is the building
この,"['この', '町', 'ビル', 'this town building']",this town building
町,"['この', '町', 'で', 'ビル', 'Bill in this town']",Bill in this town
で,"['町', 'で', 'ビル', 'building in town']",building in town
一番,"['一番', '高い', 'ビル', 'tallest building']",tallest building
高い,"['一番', '高い', 'ビル', 'tallest building']",tallest building
ビル,"['これ', '町', '高い', 'ビル', 'です', '。', 'This is the tallest building in town.']",This is the tallest building in town.
です,"['ビル', 'です', ""It's a building""]",It's a building
彼,"['彼', 'は', '高い', 'he is tall']",he is tall
は,"['彼', 'は', '高い', 'he is tall']",he is tall
クラス,"['クラス', 'で', '高い', 'high in class']",high in class
で,"['クラス', 'で', '高い', 'high in class']",high in class
一番,"['一番', '高い', 'highest']",highest
背,"['背', 'が', '高い', 'tall']",tall
が,"['背', 'が', '高い', 'tall']",tall
高い,"['彼', 'クラス', '一番', '背', '高い', '。', 'He is the tallest in his class.']",He is the tallest in his class.
電車,"['電車', 'で', '騒い', 'noisy on the train']",noisy on the train
で,"['電車', 'で', '騒い', 'noisy on the train']",noisy on the train
子供,"['子供', 'が', '騒い', 'child making noise']",child making noise
が,"['子供', 'が', '騒い', 'child making noise']",child making noise
騒い,"['電車', 'で', '子供', '騒い', 'た', '。', 'A child made a noise on the train.']",A child made a noise on the train.
で,"['で', '騒い', 'い', 'make noise']",make noise
い,"['で', '騒い', 'い', 'make noise']",make noise
た,"['騒い', 'た', 'made a fuss']",made a fuss
子供,"['子供', 'は', '好き', 'I like children']",I like children
は,"['子供', 'は', '好き', 'I like children']",I like children
カレー,"['カレー', 'ライス', '好き', 'I like curry rice']",I like curry rice
ライス,"['カレー', 'ライス', 'が', '好き', 'i like curry rice']",i like curry rice
が,"['ライス', 'が', '好き', 'i like rice']",i like rice
好き,"['子供', 'ライス', '好き', 'です', '。', 'I like kids rice.']",I like kids rice.
です,"['好き', 'です', 'I like it']",I like it
私,"['私', 'も', '思い', 'i also think']",i also think
も,"['私', 'も', '思い', 'i also think']",i also think
そう,"['そう', '思い', 'I think so']",I think so
思い,"['私', 'そう', '思い', 'ます', '。', 'I think so.']",I think so.
ます,"['思い', 'ます', 'think']",think
